Topic,Body,in_post_url,Additional Info,facebook_url,Likes,Comments,Shares
Marketing Funnel Academy,"
NEW!  For Network Marketers:

How’d you like us to build your downline?

With good people.

Who go all-in.

And work hard.

And don’t complain.

And get results.

So you can make more.

And stress less.

And stop doing stuff you hate.

Like:

Begging, hosting, calling, spamming, pressuring.

I’m serious.

We do everything.

You get all the credit.

And:

You prove your haters wrong.

Plus:

Your checks get bigger by the week.

Picture that.

How would your life change?

Would you drop down hours at work?

Retire altogether?

Spend more time with friends and family?

Pay some stuff off?

Buy new toys?

Travel?

Volunteer?

Donate to charity?

All the above?

Look, I know this sounds too good to be true.

But it’s not.

And… I’ll tell you why.

Hey, it’s Steve, from:

DFYDownline.com

Here’s the deal:

I work with a handful of all-star marketers.

Together, we build done-for-you marketing funnels.

Basically:

A system… to take people from:

“Who the heck are you?”

To:

“Here, take my money.”

Make sense?

Good.

So, up until now?

We’ve only done this for coaches and consultants.

Despite hundreds of network marketers asking us if we could do the same thing… for them.

We said no.

Why?

We wanted to stay in our lane.

But enough’s enough.

Too many hard-working reps need our help.

And if anyone can deliver?

It’s us.

Which is why I’m writing you, today.

To announce our new done-for-you downline service.

It’s for you if:

1, you’re a network marketer.

2, you’re fun to work with.

3, you have a budget.

That last one, by the way, is why this is not too good to be true.

Because:

This service?

Ain’t cheap.

Plus, you’ll need extra money for Facebook ads.

Maybe $15 a day to start.

So it’s not for everyone.

But I do have some good news:

Since it’s a new niche for us?

Guess what?

The first 25 clients who sign up… will get half-off!

Just so we can collect some testimonials.

Then, we’ll bump it back to full price.

Alright?

Let’s recap:

> If you’re a network marketer.

> And you want us to build your downline.

> And you’ve got a budget.

> But you’d love to save 50% on this brand new done-for-you service?

Go here:

DFYDownline.com

Enter a valid email.

Check your inbox.

And we’ll send you a short, tell-all video.

Plus dozens of case studies from our other clients, outside of network marketing. 

That way, you’ll know we’re legit.

And that… we can blow up anyone’s business.

Including yours.

Even if you’re a total newbie.

Even if you’ve never sponsored anyone before.

And especially if courses and coaching programs have left you high and dry.

None of that matters.

Truth is:

All you need is a fabulous funnel - like this.

Running all day, every day.

Capturing leads.

Educating them.

Entertaining them.

Qualifying them.

Screening them.

Getting them excited to work with you.

All automated.

Can you see it?

While you’re watching Netflix:

People are getting in line… to go all-in under you.

Then:

You just call ‘em back and sign ‘em up.

Easy peasy.

And if you don’t believe me?

Do me a favor:

Keep going through our funnel.

(Yep, this one.)

And pay close attention to:

The personality, the positioning, the pages, the videos, the emails, the whole silky-smooth process.

And ask yourself:

“What if I had the same thing?”

“Would I not be enrolling people left and right?”

I bet I know the answer.

But, you tell me:

DFYDownline.com

Steve

PS, only the first 25 network marketers get half-off:

DFYDownline.com

PPS, still, don’t pay us a penny till you’re absolutely sure it’ll work for you:

DFYDownline.com

Link:

                    Do You Want Us To Build Your Downline?                

If so, click and enter your email.
",http://www.dfydownline.com/,"
Language: English
Placement: Desktop Newsfeed
",https://adespresso.com/ad/2295049/?_return_to=https%3A%2F%2Fadespresso.com%2Fads-examples%2F%3Fsearch%3D%26placement%3D0%26industry%3D0%26objective%3D0%26attribute%3D0,1K,225,156
Archibald and Shorter,"
With prices starting from $59,990, a 5-Star NCAP safety rating and the 2018 European Car of the Year title, be sure to test drive the Volvo XC40 today.

Link:

                    The Volvo XC40 is here | Archibald and Shorter                

XC40 IPhone Offer
",https://archibaldandshorter.co.nz/phone-offer-xc40/,"
Language: English
Placement: Desktop Newsfeed
",https://adespresso.com/ad/2291762/?_return_to=https%3A%2F%2Fadespresso.com%2Fads-examples%2F%3Fsearch%3D%26placement%3D0%26industry%3D0%26objective%3D0%26attribute%3D0,8,Comment,Share
Brad Straarup,"
Want weekly inspiration? 

I want to help you unlock your God-given potential. Subscribe for weekly videos designed to help you find your purpose, develop your leadership, and make a difference.

Link:

                    Discover Your Purpose                

And become the person you were created to be
",https://www.youtube.com/channel/UCdQPppZ1Vo68bdMHRqnitcg?sub_confirmation=1,"
Language: English
Placement: Desktop Newsfeed
",https://adespresso.com/ad/2295132/?_return_to=https%3A%2F%2Fadespresso.com%2Fads-examples%2F%3Fsearch%3D%26placement%3D0%26industry%3D0%26objective%3D0%26attribute%3D0,159,Comment,1
CarHopper,"
CarHopper is America's #1 rated luxury car rental brand. But you don't have to treat us any differently.

Link:

                    Drive through summer with 10% off your first reservation.                

32,927 people use this
",https://carhopper.co/,"
Language: English
Placement: Desktop Newsfeed
",https://adespresso.com/ad/2292592/?_return_to=https%3A%2F%2Fadespresso.com%2Fads-examples%2F%3Fsearch%3D%26placement%3D0%26industry%3D0%26objective%3D0%26attribute%3D0,1,Comment,Share
Airbnb,"
Find out how much your home in Los Angeles could earn.

Link:

                    Earn money by sharing your space on Airbnb                

Create your free listing today.
",https://www.airbnb.com/host/homes,"
Language: English
Placement: Desktop Newsfeed
",https://adespresso.com/ad/2294823/?_return_to=https%3A%2F%2Fadespresso.com%2Fads-examples%2F%3Fsearch%3D%26placement%3D0%26industry%3D0%26objective%3D0%26attribute%3D0,35,9,6
MathType,"
Do you know how to edit math equations on Microsoft Word, Power Point and Google Docs? Do it with MathType 7!

https://goo.gl/7G4TSd

Link:

                    Edit equations on Windows, iOS and Google Docs                

The most popular equation editor for Word, Power Point, Google Docs and much more. Works on Windows, iOS and Google Suite.
",https://goo.gl/7G4TSd,"
Language: English
Placement: Desktop Newsfeed
",https://adespresso.com/ad/2294047/?_return_to=https%3A%2F%2Fadespresso.com%2Fads-examples%2F%3Fsearch%3D%26placement%3D0%26industry%3D0%26objective%3D0%26attribute%3D0,24,Comment,4
CuriosityStream,"
Travel back in time 250 million years and experience life on earth like never before in Ancient Earth 2. 

Link:

                    Watch Ancient Earth Today                


",https://www.facebook.com/curiositystream/videos/10160740025605215/,"
Language: English
Placement: Desktop Newsfeed
",https://adespresso.com/ad/2292792/?_return_to=https%3A%2F%2Fadespresso.com%2Fads-examples%2F%3Fsearch%3D%26placement%3D0%26industry%3D0%26objective%3D0%26attribute%3D0,199,7,52
HubSpot,"
Join Facebook's Head of Messenger and 15 experts in this free video series on how to be really good at marketing in 2020

Link:

                    FB Messenger Video Series                

[Watch] Marketing in 2020
",https://offers.hubspot.com/marketing-in-2020?__hstc=242096093.73672fcb6c40fb11f3c6558fcc536fa4.1542684611146.1542684611146.1542684611146.1&__hssc=242096093.44.1542684611148&__hsfp=3151334412,"
Language: English
Placement: Desktop Newsfeed
",https://adespresso.com/ad/2292422/?_return_to=https%3A%2F%2Fadespresso.com%2Fads-examples%2F%3Fsearch%3D%26placement%3D0%26industry%3D0%26objective%3D0%26attribute%3D0,92,5,15
Eight Restaurant,"
SNEAK PEAK! Chocolate lovers, every Tuesday is Chocolate Tuesday at Eight from 18 September. Indulge in a decadent selection of chocolate treats - from chocolate naan bread to chocolate-infused sauce to spice up your grill. Don't miss out. BOOK TODAY! 

Link:

                    https://www.facebook.com/EightRestaurantCordisAuckland/photos/a.1212880482104586/1896340930425201/?type=3                


",https://www.facebook.com/EightRestaurantCordisAuckland/photos/a.1212880482104586/1896340930425201/?type=3,"
Language: English
Placement: Desktop Newsfeed
",https://adespresso.com/ad/2291752/?_return_to=https%3A%2F%2Fadespresso.com%2Fads-examples%2F%3Fsearch%3D%26placement%3D0%26industry%3D0%26objective%3D0%26attribute%3D0,699,107,26
Clearbit,"
In just a few clicks, Clearbit instantly turns any email address or domain into full prospect and company profiles. 

Save up to 2 hours per day of manual research and data-entry!

➡️ Get instant access to the largest, most up-to-date B2B database in the world: https://goo.gl/n7wHXY

Link:

                    Find Any Prospect's Email Address                 

A free Chrome extension. 5 stars in the Chrome store.
",https://goo.gl/n7wHXY,"
Language: English
Placement: Desktop Newsfeed
",https://adespresso.com/ad/2293721/?_return_to=https%3A%2F%2Fadespresso.com%2Fads-examples%2F%3Fsearch%3D%26placement%3D0%26industry%3D0%26objective%3D0%26attribute%3D0,1,Comment,Share
